Category,Subcategory,WavName,EN_Label,FR_Translation,Notes
Actions,BailOut,Bailout1.wav,Bail out,"Évacuez !",Order to leave vehicle
Actions,BailOut,Bailout2.wav,Bail out,"Sortez du véhicule !",Alt
Actions,BailOut,Bailout3.wav,Bail out,"Tout le monde dehors !",Alt loud
Actions,BailOut,MountUp1.wav,Mount up,"Embarquez !",Get in vehicle
Actions,BailOut,MountUp2.wav,Mount up,"Tout le monde dans le véhicule !",Alt
Actions,BailOut,MountUp3.wav,Mount up,"En voiture !",Alt informal
Actions,Covering,Covering1.wav,Covering,"Je couvre !",I'm covering
Actions,Covering,Covering2.wav,Covering,"Couverture !",Short
Actions,Covering,Covering3.wav,Covering,"Je te couvre !",Familiar
Actions,Covering,Covering4.wav,Covering,"Restez à couvert !",Tell others
Actions,Covering,Covering5.wav,Covering,"Je vous couvre !",Plural
Actions,Door,Door1.wav,Door,"Porte !",Spotting a door
Actions,Door,Door2.wav,Door,"Attention porte !",Warning
Actions,Door,Door3.wav,Door,"Porte droite !",Position
Actions,Door,Door4.wav,Door,"Porte gauche !",Position
Actions,Door,Door5.wav,Door,"Couvrez la porte !",Order
Actions,Door,Door6.wav,Door,"Surveillez la porte !",Watch
Actions,RadioReconfigure,RadioReconfigure.wav,Radio reconfigure,"Reconfiguration radio.",
Actions,RadioReconfigure,RadioReconfigure2.wav,Radio reconfigure,"Je change de fréquence.",
Actions,RadioReconfigure,RadioReconfigure3.wav,Radio reconfigure,"Radio en cours de réglage.",
Actions,RadioReconfigure,RadioReconfigure4.wav,Radio reconfigure,"Une seconde, je règle la radio.",
Actions,Rearm,SearchForAmmo.wav,Search for ammo,"Je cherche des munitions.",
Actions,ShowLocation,Look1.wav,Look,"Regardez !",Imperative
Actions,ShowLocation,Look2.wav,Look,"Voyez !",Alt formal
Actions,ShowLocation,Look3.wav,Look,"Regarde !",Familiar singular
Actions,ShowLocation,Look4.wav,Look,"Là !",Pointing
Actions,ShowLocation,LookOverThere1.wav,Look over there,"Là-bas !",
Actions,ShowLocation,LookOverThere2.wav,Look over there,"Regardez là-bas !",
Actions,ShowLocation,LookOverThere3.wav,Look over there,"Voyez là-bas !",
Actions,ShowLocation,LookOverThere4.wav,Look over there,"Par là !",
Combat,CeaseFire,CeaseFire1.wav,Cease fire,"Cessez le feu !",
Combat,CeaseFire,CeaseFire2.wav,Cease fire,"Halte au feu !",Alt
Combat,Defend,HoldYourGroundAtAllCosts.wav,Hold your ground at all costs,"Tenez la position coûte que coûte !",
Combat,Defend,SecureThisArea.wav,Secure this area,"Sécurisez le secteur !",
Combat,FireAtWill,Fire.wav,Fire,"Feu !",Short
Combat,FireAtWill,FireAtWill1.wav,Fire at will,"Feu à volonté !",
Combat,FireAtWill,FireAtWill2.wav,Fire at will,"Tirez à volonté !",Alt
