JWK_Name,Bank,Our_SampleName,Status
Digit_0.snd,Default,DIGIT_0,MATCH
Digit_1.snd,Default,DIGIT_1,MATCH
Digit_2.snd,Default,DIGIT_2,MATCH
Digit_3.snd,Default,DIGIT_3,MATCH
Digit_4.snd,Default,DIGIT_4,MATCH
Digit_5.snd,Default,DIGIT_5,MATCH
Digit_6.snd,Default,DIGIT_6,MATCH
Digit_7.snd,Default,DIGIT_7,MATCH
Digit_8.snd,Default,DIGIT_8,MATCH
Digit_9.snd,Default,DIGIT_9,MATCH
DontCall_01.snd,ResistanceOfficer,DONT_CALL,MATCH_EXPLICIT
HideoutLocationReplyA_01.snd,ResistanceOfficer,HIDEOUT_OK_A,MATCH_EXPLICIT
HideoutLocationReplyB_02.snd,ResistanceOfficer,HIDEOUT_OK_B,MATCH_EXPLICIT
HideoutLocationReplyNeg_01.snd,ResistanceOfficer,HIDEOUT_NONE,MATCH_EXPLICIT
PassOK_01.snd,ResistanceOfficer,PASS_OK,MATCH_EXPLICIT
Passphrase_Agate.snd,Passphrases,PASSPHRASE_AGATE,MATCH
Passphrase_Alligator.snd,Passphrases,PASSPHRASE_ALLIGATOR,MATCH
Passphrase_Amber.snd,Passphrases,PASSPHRASE_AMBER,MATCH
Passphrase_Bear.snd,Passphrases,PASSPHRASE_BEAR,MATCH
Passphrase_Diamond.snd,Passphrases,PASSPHRASE_DIAMOND,MATCH
Passphrase_Fox.snd,Passphrases,PASSPHRASE_FOX,MATCH
Passphrase_Hawk.snd,Passphrases,PASSPHRASE_HAWK,MATCH
Passphrase_Pearl.snd,Passphrases,PASSPHRASE_PEARL,MATCH
Passphrase_Salamander.snd,Passphrases,PASSPHRASE_SALAMANDER,MATCH
Passphrase_Topaz.snd,Passphrases,PASSPHRASE_TOPAZ,MATCH
Passphrase_Wolf.snd,Passphrases,PASSPHRASE_WOLF,MATCH
PhonePickup_01.snd,Default,PHONE_PICKUP_01,MATCH
PhonePickupMP_01.snd,MilitaryPolice,MP_PHONE_PICKUP,MATCH_EXPLICIT
ReportResistance_01.snd,Player,MP_REPORT_RESISTANCE_01,MATCH_EXPLICIT
ResistanceReportReply_01.snd,MilitaryPolice,MP_RESISTANCE_REPORT_REPLY,MATCH_EXPLICIT
AskJob_01.snd,Player,RO_ASK_JOB,MATCH_EXPLICIT
StopNPC_02.snd,PlayerActions,STOP_NPC_02,MATCH
StopNPC_01.snd,PlayerActions,STOP_NPC_01,MATCH
JobReplyNeg_01.snd,ResistanceOfficer,JOB_NONE,MATCH_EXPLICIT
JobReplyOkCache_01.snd,ResistanceOfficer,JOB_DEAD_DROP,MATCH_EXPLICIT
JobReplyOkMeet_01.snd,ResistanceOfficer,JOB_MEET,MATCH_EXPLICIT
JobReplyOkNotes_01.snd,ResistanceOfficer,JOB_GIVE_NOTE,MATCH_EXPLICIT
JobReportOk_01.snd,ResistanceOfficer,JOB_REPORT_OK,MATCH_EXPLICIT
RadioCalloutAnswer_01.snd,ResistanceOfficer,RADIO_CALLOUT_ANSWER,MATCH_EXPLICIT
RadioCalloutTail_01.snd,Default,RADIO_CALLOUT_TAIL,MATCH_EXPLICIT
JobDoReport_01.snd,Player,JOB_REPORT_DONE_01,MATCH_EXPLICIT
Q_Intro_PlayerGreet.snd,Player,Q_PL_INTRO_1,MATCH_EXPLICIT
Q_Intro_RO_1.snd,ResistanceOfficerQuests,Q_RO_INTRO_1,MATCH_EXPLICIT
Q_Posters_RO_1.snd,ResistanceOfficerQuests,Q_RO_POSTERS_1,MATCH_EXPLICIT
Q_Posters_RO_2.snd,ResistanceOfficerQuests,Q_RO_POSTERS_2,MATCH_EXPLICIT
Q_Posters_RO_3.snd,ResistanceOfficerQuests,Q_RO_POSTERS_3,MATCH_EXPLICIT
JobReportBackInPerson_01.snd,ResistanceOfficer,JOB_REQ_REPORT_PERSON,MATCH_EXPLICIT
AskForPosters.snd,Player,POSTERS_ASK,MATCH_EXPLICIT
AskPoster_AlreadyHave.snd,ResistanceOfficer,POSTERS_ALREADY_HAVE,MATCH_EXPLICIT
AskPoster_ComeLater.snd,ResistanceOfficer,POSTERS_COME_LATER,MATCH_EXPLICIT
AskPoster_NoSpace.snd,ResistanceOfficer,POSTERS_NO_SPACE,MATCH_EXPLICIT
AskPoster_OK.snd,ResistanceOfficer,POSTERS_OK,MATCH_EXPLICIT
ConvertHostile_01.snd,AmbientCivilian,CONVERT_HOS_01,MATCH
ConvertHostile_02.snd,AmbientCivilian,CONVERT_HOS_02,MATCH
ConvertHostile_03.snd,AmbientCivilian,CONVERT_HOS_03,MATCH
ConvertHostile_04.snd,AmbientCivilian,CONVERT_HOS_04,MATCH
ConvertHostile_05.snd,AmbientCivilian,CONVERT_HOS_05,MATCH
ConvertNeedless_01.snd,AmbientCivilian,CONVERT_NL_01,MATCH
ConvertNeedless_02.snd,AmbientCivilian,CONVERT_NL_02,MATCH
ConvertNeedless_03.snd,AmbientCivilian,CONVERT_NL_03,MATCH
ConvertNeedless_04.snd,AmbientCivilian,CONVERT_NL_04,MATCH
ConvertNeg_01.snd,AmbientCivilian,CONVERT_NEG_01,MATCH
ConvertNeg_02.snd,AmbientCivilian,CONVERT_NEG_02,MATCH
ConvertNeg_03.snd,AmbientCivilian,CONVERT_NEG_03,MATCH
ConvertNeg_04.snd,AmbientCivilian,CONVERT_NEG_04,MATCH
ConvertNeg_05.snd,AmbientCivilian,CONVERT_NEG_05,MATCH
ConvertNeg_06.snd,AmbientCivilian,CONVERT_NEG_06,MATCH
ConvertOK_01.snd,AmbientCivilian,CONVERT_OK_01,MATCH
ConvertOK_02.snd,AmbientCivilian,CONVERT_OK_02,MATCH
ConvertOK_03.snd,AmbientCivilian,CONVERT_OK_03,MATCH
ConvertOK_04.snd,AmbientCivilian,CONVERT_OK_04,MATCH
ConvertOK_05.snd,AmbientCivilian,CONVERT_OK_05,MATCH
ConvertSupporter_01.snd,Player,CIV_CONVERT_01,MATCH_EXPLICIT
ConvertSupporter_02.snd,Player,CIV_CONVERT_02,MATCH_EXPLICIT
ConvertSupporter_03.snd,Player,CIV_CONVERT_03,MATCH_EXPLICIT
ConvertSupporter_04.snd,Player,CIV_CONVERT_04,MATCH_EXPLICIT
ConvertSupporter_05.snd,Player,CIV_CONVERT_05,MATCH_EXPLICIT
ConvertSupporter_06.snd,Player,CIV_CONVERT_06,MATCH_EXPLICIT
ConvertSupporter_07.snd,Player,CIV_CONVERT_07,MATCH_EXPLICIT
ConvertSupporter_08.snd,Player,CIV_CONVERT_08,MATCH_EXPLICIT
ConvertSupporter_09.snd,Player,CIV_CONVERT_09,MATCH_EXPLICIT
ConvertSupporter_10.snd,Player,CIV_CONVERT_10,MATCH_EXPLICIT
ExtortCivilian_01.snd,Player,CIV_EXTORT_01,MATCH_EXPLICIT
ExtortCivilian_02.snd,Player,CIV_EXTORT_02,MATCH_EXPLICIT
ExtortCivilian_03.snd,Player,CIV_EXTORT_03,MATCH_EXPLICIT
ExtortCivilian_04.snd,Player,CIV_EXTORT_04,MATCH_EXPLICIT
ExtortCivilian_05.snd,Player,CIV_EXTORT_05,MATCH_EXPLICIT
ExtortCivilianNeg_01.snd,AmbientCivilian,EXTORT_NEG_01,MATCH_EXPLICIT
